title,gowatchitID,created_at,updated_at,title_type,director,release_date
300,,,,Feature Film,Zack Snyder,12/9/06
"20,000 Days on Earth",,,,Documentary,"Iain Forsyth, Jane Pollard",1/20/14
3:10 to Yuma,,,,Feature Film,James Mangold,8/21/07
A Bug's Life,,,,Feature Film,"John Lasseter, Andrew Stanton",11/14/98
A New Leaf,,,,Feature Film,Elaine May,3/11/71
A Very Harold & Kumar 3D Christmas,,,,Feature Film,Todd Strauss-Schulson,11/4/11
Adaptation.,,,,Feature Film,Spike Jonze,12/6/02
After the Thin Man,,,,Feature Film,W.S. Van Dyke,12/25/36
Alien,,,,Feature Film,Ridley Scott,5/25/79
Alien,,,,Feature Film,Ridley Scott,5/25/79
Alien: Resurrection,,,,Feature Film,Jean-Pierre Jeunet,11/6/97
AlienŒ_,,,,Feature Film,David Fincher,5/22/92
Aliens,,,,Feature Film,James Cameron,7/18/86
All Is Bright,,,,Feature Film,Phil Morrison,4/18/13
Amí©lie,,,,Feature Film,Jean-Pierre Jeunet,4/25/01
American Flyers,,,,Feature Film,John Badham,8/16/85
American Psycho,,,,Feature Film,Mary Harron,1/21/00
Anchorman: The Legend of Ron Burgundy,,,,Feature Film,Adam McKay,6/28/04
Annie Hall,,,,Feature Film,Woody Allen,4/20/77
Arrested Development,,,,TV Series,,11/2/03
As Good as It Gets,,,,Feature Film,James L. Brooks,12/19/97
Attack the Block,,,,Feature Film,Joe Cornish,3/12/11
Austin Powers: The Spy Who Shagged Me,,,,Feature Film,Jay Roach,6/8/99
AVP: Alien vs. Predator,,,,Feature Film,Paul W.S. Anderson,8/12/04
Baby Mama,,,,Feature Film,Michael McCullers,4/23/08
Back to the Future,,,,Feature Film,Robert Zemeckis,7/3/85
Bad Words,,,,Feature Film,Jason Bateman,9/6/13
Batman,,,,Feature Film,Tim Burton,6/19/89
Batman Returns,,,,Feature Film,Tim Burton,6/16/92
Bean,,,,Feature Film,Mel Smith,7/3/97
Bedazzled,,,,Feature Film,Harold Ramis,10/17/00
Beerfest,,,,Feature Film,Jay Chandrasekhar,8/25/06
Beetlejuice,,,,Feature Film,Tim Burton,3/29/88
Betsy's Wedding,,,,Feature Film,Alan Alda,6/22/90
Big Business,,,,Feature Film,Jim Abrahams,6/10/88
Blade II,,,,Feature Film,Guillermo del Toro,3/21/02
Blades of Glory,,,,Feature Film,"Josh Gordon, Will Speck",3/30/07
Blazing Saddles,,,,Feature Film,Mel Brooks,2/7/74
Blow,,,,Feature Film,Ted Demme,3/29/01
Borgman,,,,Feature Film,Alex van Warmerdam,5/19/13
Brick,,,,Feature Film,Rian Johnson,2005-01
Bridget Jones's Diary,,,,Feature Film,Sharon Maguire,4/4/01
Casa de mi Padre,,,,Feature Film,Matt Piedmont,3/13/12
Cheap Thrills,,,,Feature Film,E.L. Katz,3/8/13
Children of Men,,,,Feature Film,Alfonso Cuarí_n,9/3/06
Citizen Kane,,,,Feature Film,Orson Welles,5/1/41
Club Paradise,,,,Feature Film,Harold Ramis,7/11/86
Cold Mountain,,,,Feature Film,Anthony Minghella,12/25/03
Crocodile Dundee,,,,Feature Film,Peter Faiman,4/24/86
"Crouching Tiger, Hidden Dragon",,,,Feature Film,Ang Lee,5/16/00
Daybreakers,,,,Feature Film,"The Spierig Brothers, The Spierig Brothers",9/11/09
Dead Poets Society,,,,Feature Film,Peter Weir,6/2/89
Death to Smoochy,,,,Feature Film,Danny DeVito,2/28/02
Demolition Man,,,,Feature Film,Marco Brambilla,10/7/93
Desperado,,,,Feature Film,Robert Rodriguez,1995-05
Die Hard,,,,Feature Film,John McTiernan,7/12/88
Die Hard: With a Vengeance,,,,Feature Film,John McTiernan,5/15/95
District 9,,,,Feature Film,Neill Blomkamp,8/13/09
Django Unchained,,,,Feature Film,Quentin Tarantino,12/11/12
Dogma,,,,Feature Film,Kevin Smith,5/21/99
Dom Hemingway,,,,Feature Film,Richard Shepard,9/8/13
Elf,,,,Feature Film,Jon Favreau,10/9/03
Enron: The Smartest Guys in the Room,,,,Documentary,Alex Gibney,4/22/05
Ever After: A Cinderella Story,,,,Feature Film,Andy Tennant,7/29/98
Ex Machina,,,,Feature Film,Alex Garland,1/21/15
Family Guy: Blue Harvest,,,,TV Episode,"Dominic Polcino, James Purdum",9/23/07
Fantastic Mr. Fox,,,,Feature Film,Wes Anderson,10/14/09
Ferris Bueller's Day Off,,,,Feature Film,John Hughes,6/11/86
Fever Pitch,,,,Feature Film,"Bobby Farrelly, Peter Farrelly",4/6/05
Fight Club,,,,Feature Film,David Fincher,9/10/99
Filth,,,,Feature Film,Jon S. Baird,9/16/13
Flight of the Conchords,,,,TV Series,,6/17/07
Forgetting Sarah Marshall,,,,Feature Film,Nicholas Stoller,3/10/08
Freaks and Geeks,,,,TV Series,,9/25/99
French Kiss,,,,Feature Film,Lawrence Kasdan,5/5/95
Fried Green Tomatoes,,,,Feature Film,Jon Avnet,12/27/91
Fright Night,,,,Feature Film,Craig Gillespie,8/14/11
From Dusk Till Dawn,,,,Feature Film,Robert Rodriguez,1/19/96
Galaxy Quest,,,,Feature Film,Dean Parisot,12/23/99
Gentlemen Prefer Blondes,,,,Feature Film,Howard Hawks,7/1/53
Ghostbusters,,,,Feature Film,Ivan Reitman,6/7/84
Ghostbusters II,,,,Feature Film,Ivan Reitman,6/16/89
Gladiator,,,,Feature Film,Ridley Scott,5/1/00
"Good Morning, Vietnam",,,,Feature Film,Barry Levinson,12/23/87
Goodfellas,,,,Feature Film,Martin Scorsese,9/11/90
Grandma's Boy,,,,Feature Film,Nicholaus Goossen,1/6/06
Groundhog Day,,,,Feature Film,Harold Ramis,2/12/93
Guest Wife,,,,Feature Film,Sam Wood,7/27/45
Harry Potter and the Chamber of Secrets,,,,Feature Film,Chris Columbus,11/3/02
Harry Potter and the Deathly Hallows: Part 1,,,,Feature Film,David Yates,11/11/10
Harry Potter and the Deathly Hallows: Part 2,,,,Feature Film,David Yates,7/7/11
Harry Potter and the Goblet of Fire,,,,Feature Film,Mike Newell,11/6/05
